"1","1","3219405.18","25"
"1","2","6592598.93","10"
"1","3","1880518.36","31"
"1","4","5285874.09","13"
"1","5","3468885.58","23"
"1","6","686654.56","51"
"1","7","3513007.70","22"
"1","8","5107710.84","14"
"1","9","4012873.47","20"
"1","10","4437774.25","17"
"1","11","3563455.70","21"
"1","12","1511015.98","37"
"1","13","5533081.91","12"
"1","14","2183402.78","30"
"1","16","3453601.77","24"
"1","17","1315107.78","39"
"1","18","877479.40","47"
"1","19","180039.65","65"
"1","20","585094.73","53"
"1","21","1116608.43","43"
"1","22","1151446.89","41"
"1","23","3092115.41","26"
"1","24","884796.73","46"
"1","25","1451784.16","38"
"1","26","967823.61","45"
"1","27","196574.90","64"
"1","28","84815.30","70"
"1","29","665098.75","52"
"1","30","488387.19","56"
"1","31","344420.26","61"
"1","32","1172981.58","40"
"1","33","850339.66","48"
"1","34","1648908.93","35"
"1","35","362609.52","60"
"1","36","211097.11","63"
"1","37","400470.80","58"
"1","38","11436885.83","4"
"1","40","8366988.51","8"
"1","41","152262.06","66"
"1","42","1135466.65","42"
"1","44","696799.59","50"
"1","45","1703.65","74"
"1","46","2811807.55","28"
"1","47","-2562.00","77"
"1","48","114715.99","69"
"1","49","1635624.17","36"
"1","51","1079.52","75"
"1","52","336827.83","62"
"1","54","12092.50","71"
"1","55","1832951.60","32"
"1","56","572068.73","54"
"1","58","482263.85","57"
"1","59","122661.84","68"
"1","60","146002.40","67"
"1","67","1063350.48","44"
"1","71","390743.69","59"
"1","72","6776862.22","9"
"1","74","1666354.32","34"
"1","77","2031.00","73"
"1","78","46.00","76"
"1","79","4858395.39","16"
"1","80","2450921.99","29"
"1","81","4258639.61","18"
"1","82","2964084.11","27"
"1","83","815679.00","49"
"1","85","527080.20","55"
"1","87","6578897.64","11"
"1","90","11787139.34","3"
"1","91","9186168.91","6"
"1","92","19370632.64","1"
"1","93","10252983.08","5"
"1","94","9034821.25","7"
"1","95","17270404.89","2"
"1","96","4056723.46","19"
"1","97","5034650.88","15"
"1","98","1691371.22","33"
"1","99","11325.37","72"
"2","1","4401251.25","21"
"2","2","9425547.92","10"
"2","3","2499148.56","33"
"2","4","6521896.32","13"
"2","5","4369410.09","22"
"2","6","973598.70","52"
"2","7","5788330.70","15"
"2","8","8395153.83","11"
"2","9","4915748.62","17"
"2","10","5554957.19","16"
"2","11","3343724.12","29"
"2","12","1106240.32","48"
"2","13","6594868.17","12"
"2","14","3047921.01","31"
"2","16","3861740.69","25"
"2","17","1972092.15","38"
"2","18","1320694.62","45"
"2","19","579641.91","60"
"2","20","822052.58","53"
"2","21","1417264.40","43"
"2","22","1847990.98","40"
"2","23","4171398.17","24"
"2","24","1188267.73","47"
"2","25","2187829.70","36"
"2","26","1336724.69","44"
"2","27","262827.51","66"
"2","28","114244.59","69"
"2","29","1016942.02","51"
"2","30","712305.22","56"
"2","31","555520.25","61"
"2","32","1680978.83","42"
"2","33","1070797.87","49"
"2","34","2516114.10","32"
"2","35","554209.17","62"
"2","36","376340.33","64"
"2","37","643535.86","58"
"2","38","12171444.43","4"
"2","39","9.36","78"
"2","40","11178962.11","6"
"2","41","370687.57","65"
"2","42","1253946.65","46"
"2","44","1036112.39","50"
"2","45","1923.23","73"
